study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	2.0	hr		5.8894085261754805e-05					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	4.0	hr		0.00014269213595619282					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	6.0	hr		0.00018464618431877894					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	8.0	hr		0.00015284484125799918					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	12.0	hr		0.00010119202983421334					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	24.0	hr		3.039192773583959e-05					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	984.0	hr		3.802233362260136e-05					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	986.0	hr		0.0001009550264507011					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	988.0	hr		0.00014967348257439656					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	990.0	hr		0.0002077759825081441					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	992.0	hr		0.00016411549234684704					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	996.0	hr		0.0001093495129089642					mole/meter^3	ng/ml
Goldberg1995a		all	11.0	LOS25	concentration	exp3174		HPLC/UV	LOS25_exp3174	988.0	hr		3.2044410969815796e-05					mole/meter^3	ng/ml
