study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	0.0	hr		0.0	0.0				mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	0.25	hr		1.1024128684081059e-05	2.40818783865148	1.3501745067389048e-05	5.512064342040472e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	0.5	hr		2.756032171020362e-06	3.13064419024686	1.0801396053910925e-05	4.409651473632255e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	0.75	hr		4.960857907836364e-06	0.963275135460548	6.750872533694513e-06	2.7560321710202253e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	1.0	hr		1.1024128684080808e-05	2.40818783865137	1.3501745067389048e-05	5.512064342040472e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	1.5	hr		6.063270776244308e-06	0.722456351595326	1.0801396053911293e-05	4.409651473632391e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	2.0	hr		3.85844503942826e-05	9.87357013847065	3.915506069542773e-05	1.5984986591917146e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	2.5	hr		0.0001229190348275012	37.8085490668269	8.911151744476738e-05	3.6379624657467033e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	3.0	hr		0.0002111120643001479	64.2986152919924	0.0001566202427817118	6.393994636766904e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	4.0	hr		0.00030040750664120136	101.143889223359	0.00016877181334235813	6.890080427550391e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	6.0	hr		0.00033623592486446376	113.425647200481	0.00018767425643670296	7.661769435436056e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	8.0	hr		0.0002607206433785106	95.8458759783254	0.00010126308800541712	4.134048256530326e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	12.0	hr		0.00015488900801133388	55.8699578567117	6.61585508302062e-05	2.70091152759983e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_3	6.0	LOS50, SIL140	concentration	exp3174	plasma	HPLC MS	exp3174_3_SIL140	24.0	hr		4.7954959775746524e-05	17.0981336544228	2.1602792107821965e-05	8.819302947264554e-06		mole/meter^3	ng/ml
