study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	0.0	hr		0.0	0.0				mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	0.25	hr		9.085793701839536e-05	18.6157517899761	0.00011473362445025447	4.683980604053926e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	0.5	hr		0.00020541794456332868	73.9856801909308	7.464597253390009e-05	3.0474090676977188e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	0.75	hr		0.0002375850402779143	88.7828162291169	6.773430841038713e-05	2.7652415614292604e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	1.0	hr		0.00033182898737152975	108.591885441527	0.00018385026568534652	7.505655666736976e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	1.5	hr		0.0004046282039887541	148.926014319809	0.00012855695269727162	5.248315616590486e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	2.0	hr		0.00025056474556625624	78.0429594272076	0.00016173294049011305	6.602719646678235e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	2.5	hr		0.00020767528461347544	62.5298329355608	0.00014652727941839795	5.981951132888174e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	3.0	hr		0.00015237045338488663	46.0620525059665	0.00010643962750204355	4.345379596531967e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	4.0	hr		0.00010496631233181071	31.7422434367541	7.326363970919866e-05	2.9909755664440745e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	6.0	hr		6.207685137902821e-05	19.5704057279236	3.8705319091652924e-05	1.5801380351025625e-05		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	8.0	hr		3.6117440802342815e-05	11.2171837708829	2.3499658019930776e-05	9.593695213122149e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	12.0	hr		1.2979705288342015e-05	5.01193317422433	2.764665649403332e-06	1.1286700250730757e-06		mole/meter^3	ng/ml
Han2009a		cyp2c9_1_1	6.0	LOS50	concentration	losartan	plasma	HPLC MS	losartan_1	24.0	hr		4.514680100292875e-06	0.954653937947512	5.529331298807178e-06	2.257340050146362e-06		mole/meter^3	ng/ml
