study	count	group	intervention	label	measurement	substance	tissue	geomean	min	max	unit	time	time_unit	method	comments
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_6-hydroxymelatonin	auc_end	6-hydroxymelatonin	plasma	1.12	0.81	1.54	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_6-hydroxymelatonin	cmax	6-hydroxymelatonin	plasma	0.33	0.21	0.53	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_6-hydroxymelatonin	auc_end	6-hydroxymelatonin	plasma	1.1	0.94	1.28	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_6-hydroxymelatonin	cmax	6-hydroxymelatonin	plasma	0.29	0.22	0.39	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_cotinine	auc_end	cotinine	plasma	28.8	20.2	41.2	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_cotinine	cmax	cotinine	plasma	11.1	7.9	15.5	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_cotinine	auc_end	cotinine	plasma	49.8	23.6	105.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_cotinine	cmax	cotinine	plasma	18.9	9.21	38.9	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_hydroxybupropion	auc_end	hydroxybupropion	plasma	247.0	178.0	342.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_hydroxybupropion	cmax	hydroxybupropion	plasma	62.2	43.1	89.8	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_hydroxybupropion	auc_end	hydroxybupropion	plasma	174.0	106.0	285.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_hydroxybupropion	cmax	hydroxybupropion	plasma	36.1	21.8	59.8	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_5-hydroxyomeprazole	auc_end	5-hydroxyomeprazole	plasma	7.13	3.45	14.8	h*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_cmax_5-hydroxyomeprazole	cmax	5-hydroxyomeprazole	plasma	1.82	1.06	3.15	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab2_auc_end_5-hydroxyomeprazole	auc_end	5-hydroxyomeprazole	plasma	13.7	9.43	20.0	h*ng/ml	6.0	hr	HPLC MS/MS	NA
