study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Donzelli2014	all	16.0	NA	species	16.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	healthy 	16.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	sex	16.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	overnight fast	16.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	age	16.0	NA	NA	26.0	NA	NA	NA	18.0	45.0	yr	NA
Donzelli2014	all	16.0	NA	bmi	16.0	NA	NA	23.4	NA	NA	NA	20.6	26.3	kg/m^2	NA
Donzelli2014	all	16.0	NA	ethnicity	16.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	abstinence alcohol	16.0	NA	NA	NA	NA	NA	NA	2.0	NA	week	NA
Donzelli2014	all	16.0	NA	abstinence medication	16.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	abstinence	16.0	xanthine	NA	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	abstinence	16.0	grapefruit	NA	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	all	16.0	NA	abstinence	16.0	grapefruit juice	NA	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp1a2_1_1	1.0	all	cyp1a2 genotype	1.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp1a2_1_1f	4.0	all	cyp1a2 genotype	4.0	NA	*1/*1f	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp1a2_1f_1f	11.0	all	cyp1a2 genotype	11.0	NA	*1f/*1f	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2b6_1_1	10.0	all	cyp2b6 genotype	10.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2b6_1_6	6.0	all	cyp2b6 genotype	6.0	NA	*1/*6	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c9_1_1	10.0	all	cyp2c9 genotype	10.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c9_1_2	2.0	all	cyp2c9 genotype	2.0	NA	*1/*2	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c9_1_3	4.0	all	cyp2c9 genotype	4.0	NA	*1/*3	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c19_1_1	7.0	all	cyp2c19 genotype	7.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c19_1_2	1.0	all	cyp2c19 genotype	1.0	NA	*1/*2	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2c19_1_17	8.0	all	cyp2c19 genotype	8.0	NA	*1/*17	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_11_12_22	8.0	all	species	8.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_14_29_241	6.0	all	species	6.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_4_41	1.0	all	cyp2d6 genotype	1.0	NA	*4/*41	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_1_1	8.0	cyp2d6_11_12_22	cyp2d6 genotype	8.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_1_2	8.0	cyp2d6_11_12_22	cyp2d6 genotype	8.0	NA	*1/*2	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_2_2	8.0	cyp2d6_11_12_22	cyp2d6 genotype	8.0	NA	*2/*2	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_1_4	6.0	cyp2d6_14_29_241	cyp2d6 genotype	6.0	NA	*1/*4	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_2_9	6.0	cyp2d6_14_29_241	cyp2d6 genotype	6.0	NA	*2/*9	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp2d6_2_41	6.0	cyp2d6_14_29_241	cyp2d6 genotype	6.0	NA	*2/*41	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp3a4_1_1	14.0	all	cyp3a4 genotype	14.0	NA	*1/*1	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp3a4_1_1b	1.0	all	cyp3a4 genotype	1.0	NA	*1/*1b	NA	NA	NA	NA	NA	NA	NA	NA
Donzelli2014	cyp3a4_1_2	1.0	all	cyp3a4 genotype	1.0	NA	*1/*2	NA	NA	NA	NA	NA	NA	NA	NA
