study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Lo1995	NA	study1	12.0	LOS50PO	cmax	losartan	plasma	HPLC/FS	NA	NA	296.0	NA	NA	NA	217.0	NA	NA	ng/ml	NA
Lo1995	NA	study1	12.0	LOS50PO	tmax	losartan	plasma	HPLC/FS	NA	NA	1.0	NA	NA	NA	0.5	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS50PO	thalf	losartan	plasma	HPLC/FS	NA	NA	2.1	NA	NA	NA	0.5	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS50PO	auc_inf	losartan	plasma	HPLC/FS	NA	NA	476.0	NA	NA	NA	200.0	NA	NA	ng/ml*hr	NA
Lo1995	NA	study1	12.0	LOS50PO	clearance_renal	losartan	plasma	HPLC/FS	NA	NA	72.0	NA	NA	NA	20.6	NA	NA	ml/min	NA
Lo1995	NA	study1	12.0	LOS50PO	recovery	losartan	urine	HPLC/FS	48.0	hr	4.2	NA	NA	NA	1.7	NA	NA	percent	NA
Lo1995	NA	study1	12.0	LOS50PO	bioavailability	losartan	plasma	HPLC/FS	NA	NA	35.8	NA	NA	NA	15.5	NA	NA	percent	NA
Lo1995	NA	study1	12.0	LOS50PO	cmax	exp3174	plasma	HPLC/FS	NA	NA	249.0	NA	NA	NA	74.0	NA	NA	ng/ml	NA
Lo1995	NA	study1	12.0	LOS50PO	tmax	exp3174	plasma	HPLC/FS	NA	NA	4.1	NA	NA	NA	1.6	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS50PO	thalf	exp3174	plasma	HPLC/FS	NA	NA	6.4	NA	NA	NA	2.3	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS50PO	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	1915.0	NA	NA	NA	538.0	NA	NA	ng/ml*hr	NA
Lo1995	NA	study1	12.0	LOS50PO	clearance_renal	exp3174	plasma	HPLC/FS	NA	NA	25.9	NA	NA	NA	6.9	NA	NA	ml/min	NA
Lo1995	NA	study1	12.0	LOS50PO	recovery	exp3174	urine	HPLC/FS	48.0	hr	6.1	NA	NA	NA	2.1	NA	NA	percent	NA
Lo1995	NA	study1	12.0	LOS20IV	thalf	losartan	plasma	HPLC/FS	NA	NA	1.8	NA	NA	NA	0.6	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS20IV	auc_inf	losartan	plasma	HPLC/FS	NA	NA	539.0	NA	NA	NA	95.0	NA	NA	ng/ml*hr	NA
Lo1995	NA	study1	12.0	LOS20IV	vd_ss	losartan	plasma	HPLC/FS	NA	NA	28.4	NA	NA	NA	13.6	NA	NA	l	NA
Lo1995	NA	study1	12.0	LOS20IV	clearance	losartan	plasma	HPLC/FS	NA	NA	636.0	NA	NA	NA	107.4	NA	NA	ml/min	NA
Lo1995	NA	study1	12.0	LOS20IV	clearance_renal	losartan	plasma	HPLC/FS	NA	NA	72.1	NA	NA	NA	20.8	NA	NA	ml/min	NA
Lo1995	NA	study1	12.0	LOS20IV	recovery	losartan	urine	HPLC/FS	48.0	hr	12.0	NA	NA	NA	2.5	NA	NA	percent	NA
Lo1995	NA	study1	12.0	LOS20IV	cmax	exp3174	plasma	HPLC/FS	NA	NA	76.0	NA	NA	NA	30.0	NA	NA	ng/ml	NA
Lo1995	NA	study1	12.0	LOS20IV	tmax	exp3174	plasma	HPLC/FS	NA	NA	4.2	NA	NA	NA	0.6	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS20IV	thalf	exp3174	plasma	HPLC/FS	NA	NA	4.6	NA	NA	NA	1.3	NA	NA	hr	NA
Lo1995	NA	study1	12.0	LOS20IV	auc_inf	exp3174	plasma	HPLC/FS	NA	NA	744.0	NA	NA	NA	272.0	NA	NA	ng/ml*hr	NA
Lo1995	NA	study1	12.0	LOS20IV	clearance_renal	exp3174	plasma	HPLC/FS	NA	NA	28.4	NA	NA	NA	6.0	NA	NA	ml/min	NA
Lo1995	NA	study1	12.0	LOS20IV	recovery	exp3174	urine	HPLC/FS	48.0	hr	6.5	NA	NA	NA	2.3	NA	NA	percent	NA
