study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_1	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_1	24.0	hr	4.9	NA	1.1	9.0	3.2	NA	NA	percent	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_2	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_2	24.0	hr	2.1	NA	1.5	2.5	0.5	NA	NA	percent	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_3	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_1_3	24.0	hr	2.6	NA	2.1	3.6	0.6	NA	NA	percent	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_2_2	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_2_2	24.0	hr	3.3	NA	2.0	5.8	2.1	NA	NA	percent	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_2_3	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_2_3_swedish	4.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_2_3	24.0	hr	3.3	NA	1.9	4.1	1.0	NA	NA	percent	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_3_3	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Yasar2002a	cyp2c9_3_3_swedish	1.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_3_3	24.0	hr	4.4	NA	NA	NA	NA	NA	NA	percent	NA
