study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	0.0	hr		-2.50296658489271					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	0.5	hr		-0.785682125168841					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	1.0	hr		-3.93130357210484					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	1.5	hr		-9.38916754682365					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	2.0	hr		-8.81604859308133					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	3.0	hr		-7.93206941387856					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	4.0	hr		-9.59874309374829					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	6.0	hr		-7.94997412128072					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	8.0	hr		-4.3941644540011					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	12.0	hr		-9.70204757476424					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	312.0	hr		-9.14431673052362					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	312.5	hr		-11.0344827586206					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	313.0	hr		-11.0600255427841					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	313.5	hr		-10.6002554278416					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	314.0	hr		-7.17752234993614					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	315.0	hr		-11.4687100893997					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	316.0	hr		-10.9067688378033					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	318.0	hr		-13.6653895274584					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	320.0	hr		-9.93614303959132					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	324.0	hr		-12.3371647509578					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	984.0	hr		-11.1253196930946					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	984.5	hr		-9.43318268343668					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	985.0	hr		-6.64106786252321					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	985.5	hr		-8.01784442186642					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	986.0	hr		-8.90873419051956					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	987.0	hr		-10.3325041749874					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	988.0	hr		-13.2141680972567					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	990.0	hr		-10.6138574548342					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	992.0	hr		-8.80638568709198					mmHg	mmHg
Goldberg1995a		all	12.0	ENA20	blood pressure diastolic (change)			sphygmomanometer	ENA20_dbp_change	996.0	hr		-14.5268542199488					mmHg	mmHg
