study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	2.229924192138139e-07	7.809111593256809e-05	2.016303943290593e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	4.817605643474161e-05	0.00016593268422820045	4.284363484048762e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	0.00019443001048309204	0.00021475996451840882	5.5450784400792874e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	0.00046924714003854484	0.00018548361131770776	4.7891662508526107e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	0.0009104812609008135	0.00035146658562662113	9.074828219201912e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	0.0009862146882310128	0.00023431099798566475	6.0498839535447965e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	0.0007342396553855169	0.00016598297430891337	4.285661968349303e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	0.0005251213108900558	0.00015620730244106856	4.033255206068292e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	0.00033122778065159975	0.00018550861008865974	4.7898117163430956e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	0.00023816883500345624	0.00014643176354540966	3.780851877114358e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	0.0001551962489757241	0.00010736750503575949	2.7722170595155803e-05	LC/MS	mole/meter^3
Kim2016	exp3174_ginseng	15.0	all	concentration	plasma	exp3174	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	24.0	hr	4.050059739891141e-05	8.786658435296845e-05	2.2687054525811754e-05	LC/MS	mole/meter^3
