study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.0	hr		0.0					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.0454409959128856	hr		0.0017941651173781718					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.111747635841396	hr		0.002274531739986633					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.247988705740392	hr		0.0026552325905573747					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.374820926627297	hr		0.0015531655407662274					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.414995775705055	hr		0.0009418750306864068					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.507036319834552	hr		0.0005653266917628485					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.759413481270883	hr		0.00021666996255828957					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	0.989099401122079	hr		0.00013414288181242223					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	1.49571442920982	hr		7.6481458622858e-05					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	1.98303195478395	hr		5.2230448684655164e-05					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	2.9891234563607	hr		3.185070599587526e-05					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	3.99275742274773	hr		2.411976713366784e-05					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	5.00048728111764	hr		1.2731002107363489e-05					mole/meter^3	ng/ml
Lo1995		study1	12.0	LOS20IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS20IV	5.99079204473754	hr		6.824444901865665e-06					mole/meter^3	ng/ml
