study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	0.0	hr	114.0	12.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	0.5	hr	114.0	11.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	1.0	hr	113.0	15.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	2.0	hr	113.0	12.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	3.0	hr	110.0	11.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	4.0	hr	110.0	12.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	6.0	hr	108.0	12.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	8.0	hr	107.0	10.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	10.0	hr	111.0	11.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	12.0	hr	112.0	12.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	14.0	hr	112.0	10.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	24.0	hr	106.0	9.0							mmHg	mmHg
Ohtawa1993	single_dose_100	6.0	LOS100	blood pressure systolic	sbp_100			sphygmomanometer	30.0	hr	110.0	11.0							mmHg	mmHg
