study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	-0.5	hr		114.116132848695				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	0.0	hr		111.899261258471				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	0.5	hr		110.927366711109				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	1.0	hr		112.04372832243				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	1.5	hr		109.144127386121				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	2.0	hr		107.007484466093				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	2.5	hr		104.951162645605				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	3.0	hr		104.742226114524				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	3.5	hr		104.533474442131				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	4.0	hr		104.445204419046				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	4.5	hr		110.260257924083				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	5.0	hr		103.465268518796				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	5.5	hr		102.131836594163				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	6.0	hr		99.5137292236166				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	6.5	hr		100.911399542012				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	7.0	hr		101.666408634749				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	7.5	hr		100.051760432384				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	8.0	hr		102.212573625749				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	9.0	hr		106.091879388949				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	10.0	hr		105.513548986396				supine	mmHg	mmHg
Doig1993		all	8.0	LOS50	blood pressure systolic			sphygmomanometer	LOS50_supine_sbp	24.0	hr		109.123885359885				supine	mmHg	mmHg
