study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	0.0	hr		90.1256978112568				.	ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	0.25	hr		1455.997385673	2495.32278191182	1039.32539623882	259.831349059705		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	0.5	hr		2082.69145827135	2622.26298250373	539.57152423238	134.892881058095		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	0.75	hr		2259.57991916415	2688.13453586331	428.55461669916	107.13865417479		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	1.0	hr		2112.42811710722	2451.49198207576	339.06386496854	84.7659662421351		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	2.0	hr		1695.69751525574	2053.37340249779	357.67588724205	89.4189718105125		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	3.0	hr		1568.50123155434	1940.17059376657	371.66936221223	92.9173405530575		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	4.0	hr		1290.70224261373	1636.65022602692	345.94798341319	86.4869958532975		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	6.0	hr		911.967741706962	1277.05120720562	365.083465498658	91.2708663746645		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	8.0	hr		706.567100914136	1096.53001336238	389.962912448244	97.490728112061		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	12.0	hr		393.710515012937	669.984335030635	276.273820017698	69.0684550044245		ng/ml	ng/ml
Donzelli2014		all	16.0	CAF100, MET12.5	concentration	caffeine	plasma	HPLC MS/MS	caffeine	24.0	hr		107.981768538481	221.72689147159	113.745122933109	28.4362807332772		ng/ml	ng/ml
