study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	0.0	hr		0.0					mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	0.17	hr		0.0					mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	0.33	hr		0.0					mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	0.5	hr		0.0					mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	0.56	hr		0.0					mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	1.0	hr		1.164826828515173e-05	15.7760814249363	2.446136339881802e-05	1.09394542764165e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	1.33	hr		3.261515119842456e-05	32.5699745547073	4.193376582654557e-05	1.875335018814271e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	1.67	hr		8.38675316530916e-05	79.3893129770992	9.784545359527347e-05	4.375781710566659e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	2.0	hr		0.00013977921942181926	126.208651399491	0.00014909783404994052	6.667857844672987e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	2.5	hr		0.00023995432667412234	178.117048346055	0.00016773506330618182	7.501340075257064e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	3.0	hr		0.00038788733389554674	250.89058524173	0.00018637229256242708	8.334822305841304e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	4.0	hr		0.0005393148216025192	312.977099236641	0.00017705367793430444	7.918081190549195e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	6.0	hr		0.000434480407036153	268.702290076335	0.00018054815841985012	8.074359108783709e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	8.0	hr		0.00027373430470106254	187.277353689567	0.00015492196819251583	6.928321041730511e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	12.0	hr		0.00011997716333706163	95.1653944020357	9.78454535952737e-05	4.375781710566659e-05		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	24.0	hr		1.6307575599212602e-05	12.7226463104327	1.2813095113666726e-05	5.730190335265831e-06		mole/meter^3	ng/ml
Huang2021		cyp2c9_1_3	5.0	LOS50	concentration	exp3174	plasma	HPLC	exp3174_placebo_3	36.0	hr		1.2813095113667114e-05	11.1959287531807	1.281309511366652e-05	5.7301903352657405e-06		mole/meter^3	ng/ml
