study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	0.0	hr		0.0					mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	0.5	hr		2.2899815999637215e-07	0.110320982296203	2.3513850459717917e-08	1.051571360813859e-08		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	1.0	hr		7.129647523106956e-06	6.13869209373757	6.9211109989546205e-06	3.095214934696792e-06		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	2.0	hr		0.0002194890468462483	209.590056490847	0.0002602384305071757	0.00011638216419438012		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	3.0	hr		0.0004039179884784777	229.892977316783	0.00012228053408485127	5.468551730774147e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	4.0	hr		0.00044305172941710573	240.8307370633	0.00010818206427953463	4.838048993505817e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	6.0	hr		0.00033652737301089055	202.871805481506	0.00012782280227534827	5.7164094992438676e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	8.0	hr		0.00027387279965610423	189.528835374725	0.00015993685525956183	7.152593609358495e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	10.0	hr		0.00023607293334623045	122.554325453081	4.443978931208257e-05	1.9874077961517053e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	12.0	hr		0.0001654458397614085	88.3939808708152	3.687779221983914e-05	1.6492250052734646e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_1	5.0	LOS50	concentration	exp3174	plasma	HPLC/FS	exp3174_1	24.0	hr		3.2887652865072996e-05	17.8768237519303	8.030335827676964e-06	3.5912753585675472e-06		mole/meter^3	ng/ml
