study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	0.0	hr		0.0					mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	0.5	hr		2.3692757848229296e-07	0.099024568400613	2.777678383659919e-09	1.2422155370990586e-09		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	1.0	hr		7.4226529123427624e-06	9.18073129875131	1.4285771079351258e-05	6.388791048885982e-06		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	2.0	hr		0.00021686917556931697	127.600595076335	8.485055996921244e-05	3.794632400401621e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	3.0	hr		0.0002000766001648172	108.392615967402	5.6224645173804886e-05	2.514442572388659e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	4.0	hr		0.0001912380648506868	117.954840411609	8.767366932413722e-05	3.920885688912182e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	6.0	hr		0.00011426348332665383	69.6509825749663	5.0430701915551496e-05	2.255329552724041e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	8.0	hr		7.157419010865878e-05	40.1721206239034	2.3415348172216873e-05	1.0471662045980477e-05		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	10.0	hr		3.712312678698166e-05	21.08310167111	1.272921016124149e-05	5.692675844083412e-06		mole/meter^3	ng/ml
Lee2003b		cyp2c9_3	5.0	LOS50	concentration	losartan	plasma	HPLC/FS	losartan_3	11.9999999999999	hr		3.086016272090038e-05	16.1375162918254	7.298022551711117e-06	3.2637749053904956e-06		mole/meter^3	ng/ml
