study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	0.0	hr	54.0	8.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	6.0	hr	58.0	5.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	24.0	hr	64.0	5.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	30.0	hr	61.0	6.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	48.0	hr	63.0	3.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	54.0	hr	63.0	3.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	72.0	hr	67.0	4.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	78.0	hr	67.0	1.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	96.0	hr	67.0	8.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	102.0	hr	65.0	1.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	120.0	hr	64.0	4.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	126.0	hr	59.0	2.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	144.0	hr	56.0	5.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	150.0	hr	59.0	6.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	168.0	hr	57.0	4.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	174.0	hr	65.0	4.0							1/s	1/s
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	heart rate	hr_0_multi			NR	192.0	hr	59.0	7.0							1/s	1/s
