study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	0.0	hr		6.63015478855354				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	0.5	hr		6.78055779519689				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	1.0	hr		7.73674225348847				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	2.0	hr		9.84968715144241				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	3.0	hr		12.9358177467176				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	4.0	hr		17.7343788236688				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	5.0	hr		38.2065173992226				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	6.0	hr		37.7034739198417				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	7.0	hr		31.9655557473204				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	8.0	hr		26.5965837813331				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	10.0	hr		29.4149641814805				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
Doig1993		all	7.0	LOS25	renin activity		plasma	RIA	LOS25_pra	24.0	hr		9.92698483025811				generation rate from ang I in presence of PMSF and inhibitor of AI breakdown	ng/ml/hr	ng/ml/hr
