study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.0	hr		0.0					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.5	hr		8.108264331507277e-05					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.75	hr		0.00040957370355298084					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	1.0	hr		0.0008110233550300187					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	1.5	hr		0.0012330060255450158					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	2.0	hr		0.0014019486996195852					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	3.0	hr		0.001215758048675608					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	4.0	hr		0.000980788738537396					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	6.0	hr		0.000602027430437628					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	8.0	hr		0.0004046388049387083					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	12.0	hr		0.00019443838475057844					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	18.0	hr		7.341506580561511e-05					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	24.0	hr		3.66528843284117e-05					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	30.0	hr		2.1161780547596856e-05					mole/meter^3	ng/ml
FDA1995S60		all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	36.0	hr		1.1078589878084525e-05					mole/meter^3	ng/ml
