study	individual	group	count	intervention	time	time_unit	method	x_measurement_type	x_substance	x_tissue	x_label	x_value	x	x_unit	y_measurement_type	y_substance	y_tissue	y_label	y_value	y	y_unit	comments
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	34.0070124450584	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	16.2452587123774	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	132.442955169586	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	44.0921225911151	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	162.852126000938	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	50.8408640237349	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	160.5871428947	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	56.3770467902648	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	146.116107670748	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	64.5934462877142	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	126.952581945304	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	54.1352472958428	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	106.310403864891	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	65.1948658258424	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	72.0970493077978	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	64.6140008301485	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	3.82131251110378	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	37.8985928105309	percent	NA
Munafo1992	NA	all	6.0	LOS40	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS40_exp3174_concentration	NA	2.08891512647016	ng/ml	pressor response inhibition	NA	plasma	LOS40_pressor_response_inhibition	NA	20.5712728758911	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	234.584690689987	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	56.83115877428	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	465.222590557498	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	78.5326128089853	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	461.266239482726	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	76.9472043033882	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	392.698118303341	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	67.7948561062526	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	316.82437099515	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	75.4088800403442	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	253.484512789625	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	84.2195288867006	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	202.780918055094	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	80.8566304731448	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	130.668333337316	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	83.2521110232099	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	13.1246330257322	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	32.6053201210646	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	5.78713938927514	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	27.8526796988839	percent	NA
Munafo1992	NA	all	6.0	LOS80	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS80_exp3174_concentration	NA	9.64868462878735	ng/ml	pressor response inhibition	NA	plasma	LOS80_pressor_response_inhibition	NA	20.4190258580923	percent	NA
Munafo1992	NA	all	6.0	LOS120	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS120_exp3174_concentration	NA	419.833699411327	ng/ml	pressor response inhibition	NA	plasma	LOS120_pressor_response_inhibition	NA	69.0030329900406	percent	NA
Munafo1992	NA	all	6.0	LOS120	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS120_exp3174_concentration	NA	772.221810600248	ng/ml	pressor response inhibition	NA	plasma	LOS120_pressor_response_inhibition	NA	81.8609349767407	percent	NA
Munafo1992	NA	all	6.0	LOS120	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS120_exp3174_concentration	NA	755.358720583302	ng/ml	pressor response inhibition	NA	plasma	LOS120_pressor_response_inhibition	NA	87.3064546840057	percent	NA
Munafo1992	NA	all	6.0	LOS120	NA	hr	HPLC/UV	concentration	exp3174	plasma	LOS120_exp3174_concentration	NA	618.059157247826	ng/ml	pressor response inhibition	NA	plasma	LOS120_pressor_response_inhibition	NA	83.7168189535188	percent	NA
