study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	0.166666666666667	hr	NA	1445.6232845594	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	0.333333333333333	hr	NA	1441.0261451852	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	0.5	hr	NA	456.171070942017	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	1.0	hr	NA	112.51488132382	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	1.5	hr	NA	67.2940586360911	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	2.0	hr	NA	39.38434262648	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	3.0	hr	NA	26.2988381994696	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	4.0	hr	NA	19.9440923192722	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	6.0	hr	NA	11.9352917002203	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	8.0	hr	NA	5.70415297635038	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	losartan	plasma	HPLC/UV	losartan_LOS30IV	12.0	hr	NA	2.58594078735186	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	0.5	hr	NA	2.87383354731656	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	1.0	hr	NA	46.2381579549699	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	1.5	hr	NA	88.6794703364749	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	2.0	hr	NA	125.379512289963	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	3.0	hr	NA	137.660313143991	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	4.0	hr	NA	131.220224443036	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	6.0	hr	NA	95.8816245499616	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	8.0	hr	NA	76.4325346615567	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	12.0	hr	NA	42.006857097826	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	18.0	hr	NA	16.8707874153704	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	24.0	hr	NA	7.94806458239083	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS30IV	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS30IV	30.0	hr	NA	3.01172448890957	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	0.25	hr	NA	439.622879904891	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	0.5	hr	NA	573.413354211935	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	0.75	hr	NA	512.737415231474	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	1.0	hr	NA	421.746740527014	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	1.5	hr	NA	285.375502956195	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	2.0	hr	NA	170.690440099636	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	3.0	hr	NA	84.0114921956803	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	4.0	hr	NA	49.9614528610679	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	6.0	hr	NA	27.0109512946817	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	8.0	hr	NA	15.3082396870742	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	losartan	plasma	HPLC/UV	losartan_LOS100PO	12.0	hr	NA	3.96905722948274	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.5	hr	NA	35.4245203684954	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	0.75	hr	NA	178.940293640076	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	1.0	hr	NA	354.331237672485	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	1.5	hr	NA	538.692934524464	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	2.0	hr	NA	612.502975171599	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	3.0	hr	NA	531.157396918081	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	4.0	hr	NA	428.500715134557	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	6.0	hr	NA	263.022172193617	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	8.0	hr	NA	176.784266044892	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	12.0	hr	NA	84.9489636672192	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	18.0	hr	NA	32.0746017600784	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	24.0	hr	NA	16.0134252457771	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	30.0	hr	NA	9.24545495056178	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	LOS100PO	concentration	exp3174	plasma	HPLC/UV	exp3174_LOS100PO	36.0	hr	NA	4.84016944619586	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	E20IV	concentration	exp3174	plasma	HPLC/UV	exp3174_E20IV	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	E20IV	concentration	exp3174	plasma	HPLC/UV	exp3174_E20IV	0.166666666666667	hr	NA	2116.12031672331	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	E20IV	concentration	exp3174	plasma	HPLC/UV	exp3174_E20IV	0.333333333333333	hr	NA	3784.19229062678	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	E20IV	concentration	exp3174	plasma	HPLC/UV	exp3174_E20IV	1.0	hr	NA	1417.62820644176	NA	NA	NA	ng/ml	NA
FDA1995S60	NA	all	6.0	E20IV	concentration	exp3174	plasma	HPLC/UV	exp3174_E20IV	2.0	hr	NA	692.998276191195	NA	NA	NA	ng/ml	NA
