study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	0.25	hr	NA	141.91138	229.96481	88.05343	24.4216274496522	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	0.5	hr	NA	296.8449	362.37274	65.52784	18.1741528531077	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	0.75	hr	NA	270.2073	324.81482	54.60752	15.1454010296866	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	1.0	hr	NA	234.0169	283.16248	49.14558	13.6305314348014	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	1.5	hr	NA	210.77934	258.55975	47.78041	13.251901401361	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	2.0	hr	NA	193.00253	236.68854	43.68601	12.1163191596487	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	3.0	hr	NA	169.05771	211.375	42.31729	11.73670453336	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	4.0	hr	NA	152.61671	199.71451	47.0978	13.0625794508883	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	5.0	hr	NA	139.59103	183.27586	43.68483	12.1159918865329	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	6.0	hr	NA	124.516396	166.83604	42.319644	11.7373574154909	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	8.0	hr	NA	103.24203	144.19766	40.95563	11.3590479987639	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	10.0	hr	NA	80.60247	118.14396	37.54149	10.4121359347937	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	caffeine	plasma	LC MS/MS	caf	12.0	hr	NA	64.10508	96.18699	32.08191	8.89792088614007	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	0.0	hr	NA	0.0	NA	NA	NA	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	0.25	hr	NA	11.532429	24.505238	12.972809	3.59800984894621	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	0.5	hr	NA	30.635658	44.97013	14.334472	3.97566721559253	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	0.75	hr	NA	34.71595	46.99911	12.28316	3.40673563113294	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	1.0	hr	NA	32.650543	42.20451	9.553967	2.64979368481468	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	1.5	hr	NA	35.353897	45.592804	10.238907	2.83976186101594	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	2.0	hr	NA	36.688538	47.61239	10.923852	3.02973142396768	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	3.0	hr	NA	42.09407	50.966618	8.872548	2.46080205830888	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	4.0	hr	NA	44.76688	52.95918	8.1923	2.27213520876797	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	5.0	hr	NA	47.439686	57.680943	10.241257	2.8404136337465	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	6.0	hr	NA	50.79626	61.036343	10.240083	2.84008802473132	ng/ml	NA
Oh2012	NA	all	13.0	Dcaf, Dlos, Dome, Ddex, Dmid	concentration	paraxanthine	plasma	LC MS/MS	px	8.0	hr	NA	50.681126	61.60145	10.920324	3.02875293282154	ng/ml	NA
